Character,Line,Episode
Flame Guard #1," State your business here, and be quick about it. Sorry, I'm on edge 'cause I'm worried that Jerry here will find out I'm dating his sister.",Earth and Water
Action, [Jerry turns his head.],Earth and Water
Finn," Listen, we need to get into the castle right now.",Earth and Water
Flame Guard #1," Yeah, but why?",Earth and Water
Finn, Grrr! So I can go to your mama's house! Now get outta my way!,Earth and Water
Jerry, Doesn't your mom live in a nursing home?,Earth and Water
Flame Guard #1," Yeah, and in a different city. C'mon, dude, you gotta be honest here.",Earth and Water
Finn," Honest my fist! [punches Flame Guard, pushes him down, and headbutts Jerry] Come on, Princess!",Earth and Water
Action, [The two run inside but are blasted back by a huge fireball.],Earth and Water
Flame Guard #2," D'aw, yeah! Gonna scramble you and fry you up for brunch! I try to act tough but I really wanted to be a chef.",Earth and Water
Finn, Man.,Earth and Water
Action, [A Flame Person walks up to the three guards.],Earth and Water
Jerry, Halt. What is your business here?,Earth and Water
Flame Person, I need to get inside to file my taxes. Also I like using the bathroom here. Also I like to crop dust the lobby.,Earth and Water
Flame Guard #2," Pass, friend.",Earth and Water
Finn," Alright, so you wanna get nasty? One time, I blew a snot bubble that broke off and floated away. Then it hit some lady's baby in the face, and it started crying.",Earth and Water
Princess Bubblegum, And I really enjoy the taste of envelopes.,Earth and Water
Flame Guard #1," Uh, that's cool and all, but you still haven't told us why you want to get in.",Earth and Water
Princess Bubblegum, We need to see the king?,Earth and Water
Flame Guard #1," Well, why didn't you just say so? Right this way, friends. [leads them inside] There you go [Flame Princess is seated on the throne wearing royal garb] the new Flame King.",Earth and Water
Finn, Flame Princess?,Earth and Water
Flame Princess, Finn?,Earth and Water
Finn," You're okay! Um, how's it going?",Earth and Water
Flame Princess, Pretty good. Cinnamon Bun and I staged a coup and I overthrew my dad.,Earth and Water
Princess Bubblegum," Oh-ho, that's why the guards were wigging out.",Earth and Water
Flame Princess, That is the new way in the Fire Kingdom. Total honesty is the law of the land—no secrets.,Earth and Water
Finn, Oh.,Earth and Water
Flame King," [from inside lantern] Right, can you believe this nonsense? Once I get outta here, I'm gonna ground you for real. No snacks, no friends, no popular music.",Earth and Water
Flame Princess, You never let me have any of those things! You were a selfish king and a bad parent!,Earth and Water
Flame King," But I did it for you, honey—for you not to overthrow me like you just did.",Earth and Water
Flame Princess," You belong in that lamp! And if you don't settle down, you'll have to answer to Cinnamon Bun!",Earth and Water
Cinnamon Bun, [wearing a conical fire hat] Hi.,Earth and Water
Finn, Wow. She's even awesomer than I remember.,Earth and Water
Princess Bubblegum, Take off that silly hat. We're going home.,Earth and Water
Cinnamon Bun," No. Look, [pets Jake 2] got a real dog now! Hah.",Earth and Water
Finn," Flame Princess, listen. I'm really sorry I lied and hurt your feelings, and I was a big fat jerk—",Earth and Water
Flame Princess," Finn, it's okay. It's in the past now.",Earth and Water
Finn," So, does that mean we're still going out?",Earth and Water
Flame Princess," No. I've realized my place is here, ruling these weak and vicious Fire People.",Earth and Water
Finn, I see. [gets on the ground and goes into fetal position],Earth and Water
Flame Princess, But we're cool. You're welcome to come back and hang out whenever you like if you promise me one thing.,Earth and Water
Finn, [stands up] Anything.,Earth and Water
Flame Princess, That you'll be completely honest with me.,Earth and Water
Finn, Heh. Okay. I promise.,Earth and Water
Flame Princess, [laughs lightly] I'm serious.,Earth and Water
Finn, Hmm.,Earth and Water
Action," [The episode begins in the Tree Fort, where BMO is starting up a game of Sumo Scootz.]",Time Sandwich
BMO, Sumo Scootz! [making sfx for the game] Vroom vroom skreeee! [Jake's character defeats Finn's] Winner!,Time Sandwich
Jake," Whoo! 79th consecutive victory! [stretches his buttocks toward Finn's face] In yo fa-ace! [Finn doesn't react] You okay, buddy? [hits Finn's cheek with one of his buttocks] Still bummed out about Flame Princess?",Time Sandwich
Finn, [nods],Time Sandwich
Jake," Hmm. I know what'll fix you up girl's night out, boy style! First, we'll go to the salon, get yo hair did and your nails all—wait, no. First, we'll go to the shops, get you a brand new hat. Then, we'll—[toilet flushes] [gasps] [hides in the couch] A burgler-mer!",Time Sandwich
Action," [Finn and Jake approach the bathroom door, and Finn kicks it open. Ice King is washing his hands.]",Time Sandwich
"Finn, Jake, & Ice King", Aah!,Time Sandwich
Finn & Jake, The Ice King? Grr—eh! [Jake holds his nose],Time Sandwich
Ice King," Jeez, you couldn't wait two seconds?",Time Sandwich
Finn,  Ech. [pinches nose] [nasally] Why are you stinkin' up our house?,Time Sandwich
Ice King," Didn't you get my text? It said I'm stayin' [takes out banana phone] with you guys—[looks at phone] oh, didn't go through. Well, anyways, I knew you wouldn't mind since it's sorta your fault I'm homeless, right?",Time Sandwich
Finn, Right.,Time Sandwich
Ice King, 'Cause you tricked your crazy ex into meltin' my Ice Kingdom?,Time Sandwich
Finn, Mmhm.,Time Sandwich
Ice King, With your lies and secrets? 'Member when that happened?,Time Sandwich
Jake," Dude, you can't stay here if you're gonna stank it up with your bad vibes, man!",Time Sandwich
Action," [Ice King sprays air freshener, and Finn and Jake cough.]",Time Sandwich
Ice King," Yeah, I'm just crashing here while the penguins rebuild. I've given Gunter temporary reign.",Time Sandwich
Action," [Gunter, wearing Ice King's crown, is shown constructing ice structures.]",Time Sandwich
Ice King, Should be fine.,Time Sandwich
Finn, Flame Princess isn't crazy.,Time Sandwich
Ice King," You're blind, Finn. You're blind—wait, she isn't here, is she?",Time Sandwich
Finn, No.,Time Sandwich
Ice King, Whew!,Time Sandwich
Finn, She said she wanted time to herself. [walks out],Time Sandwich
Ice King, Yeesh.,Time Sandwich
Jake," Yeah, breakups are tough.",Time Sandwich
Ice King," Heh, yeah, like, remember how you and I were married?",Time Sandwich
Action, [Scene cuts to a forest with smoke rising from it. Flame Princess rips up some grass and burns it.],Time Sandwich
Flame Princess, Uh! It's so confusing!,Time Sandwich
Action, [A spider-like creature lowers itself on its silk near Flame Princess.],Time Sandwich
Flame Princess," Hmm? [to creature] I thought Finn was a stand-up guy, you know? But he basically betrayed me.",Time Sandwich
Action, [Spider creature shakes his head sympathetically.],Time Sandwich
Flame Princess, Why do people even have secrets?,Time Sandwich
Action, [Her heat radiation intensifies and the spider hurriedly scrambles up its silk.],Time Sandwich
Flame Princess," It's like that in the Fire Kingdom, too. Everyone is all deceitful and Shakespeare. But out here doesn't seem any different. [scribbling sounds are heard] Why do I have to feel like this? [hears scribbling sounds] And what is that noise?! Grrr!",Time Sandwich
Action," [She sees the spider crawling in mid-air. Princess Bubblegum, invisible, punches the spider off of her face.]",Time Sandwich
Princess Bubblegum, Eh.,Time Sandwich
Flame Princess, [squints],Time Sandwich
Princess Bubblegum," [turning off invisibility] Yeah, yeah. Just act like I'm not here.",Time Sandwich
Flame Princess, [gasps] Are you spying on me?!,Time Sandwich
Princess Bubblegum," What?! No, of course not!",Time Sandwich
Action, [Several cameras and a microphone spontaneously reveal themselves. Princess Bubblegum hits a button on her watch and they become invisible again.],Time Sandwich
Princess Bubblegum," I was observing you—for research. [sighs] You're a threat, Flame Princess. Your emotions are directly linked to your combustion levels. But if I can create a scientific model that describes your complete elemental matrix, I can isolate and suppress your more... volatile traits.",Time Sandwich
Flame Princess," So, if you do your research, you'll know how to cut off my emotions so I won't feel like this?",Time Sandwich
Princess Bubblegum," Umm, yeah, basically!",Time Sandwich
Flame Princess, Then I'll help you.,Time Sandwich
Princess Bubblegum, You will?,Time Sandwich
Flame Princess, Yes. I'll do whatever it takes.,Time Sandwich
Action, [Scene cuts to Flame Princess strapped down in a metal room with Princess Bubblegum and Cinnamon Bun observing from behind a large glass window.],Time Sandwich
Princess Bubblegum," [talking into microphone] Once I press this button, you'll be subjected to a battery of tests to gauge your reflexes, stamina, and your reaction to various emotional stimuli.",Time Sandwich
Flame Princess, This is going to help me understand myself?,Time Sandwich
Princess Bubblegum," There's a 40% chance we'll be able to identify and isolate your chemical components—and yes, understand you in a very scientific way.",Time Sandwich
Flame Princess, Oh. That's good... I guess.,Time Sandwich
Princess Bubblegum, Initiate test. [a phone drops down and knocks her hand away from the button] Yah. [puts phone to her ear] Hello?,Time Sandwich
Jake," Princess! We need you and your Ball Blam Burglerber right away! Gunter has created a race of strangling snow snakes, or snow-a-constrictors!",Time Sandwich
Action," [Snow-a-constrictors are shown wrapped around Ice King and Finn, who is hacking at one with his sword.]",Time Sandwich
Jake,  Aaaah—[gets disconnected],Time Sandwich
Action," [Princess Bubblegum hits the button, lowering a large metal contraption towards Flame Princess. A small screen hanging by a cord drops down.]",Time Sandwich
Princess Bubblegum," Okay, Cinnamon Bun, all you have to do is write down the numbers that appear on this monitor. Can you do that one thing?",Time Sandwich
Cinnamon Bun, Yes.,Time Sandwich
Princess Bubblegum," Oh, one other thing. Do not open that door. [points to a door behind Flame Princess] So that's two things write down the numbers, do not open that door. Got it?",Time Sandwich
Cinnamon Bun," Yes, Princess.",Time Sandwich
Action, [Scene cuts to Cinnamon Bun opening the very same door as the floor underneath him stretches toward Flame Princess.],Time Sandwich
Cinnamon Bun, [laughs] Hello.,Time Sandwich
Flame Princess, Hello.,Time Sandwich
Cinnamon Bun, You look sad.,Time Sandwich
Flame Princess," Yeah, but mostly I'm confused.",Time Sandwich
Cinnamon Bun," Ha, me too.",Time Sandwich
Flame Princess, Really?,Time Sandwich
Cinnamon Bun, Yeah. Bubblegum is bad.,Time Sandwich
Flame Princess, She is?!,Time Sandwich
Cinnamon Bun, I don't know. Wanna pet my dog?! He lives at my house.,Time Sandwich
Flame Princess, What about the tests?,Time Sandwich
Cinnamon Bun, I'm not good at tests.,Time Sandwich
Action," [Scene cuts to Cinnamon Bun's house, where Flame Princess is sitting on the couch next to Cinnamon Bun's ""dog"" (a squash with a mop on its head). Cinnamon Bun is preparing tea.]",Time Sandwich
Cinnamon Bun," La-de-da-de-da [hums] His name is Jake, but he's not the real Jake. [walks into coffee table, leaving a notch in his leg] Ow. My body is soft. [extends leg toward Flame Princess]",Time Sandwich
Action," [Flame Princess places her hand on the wound, healing it perfectly.]",Time Sandwich
Cinnamon Bun, [gasps] [shakes his leg] We're friends.,Time Sandwich
Flame Princess," Yeah, I really get you, but sometimes friends are hard to understand. Sometimes you think you know them, but you find out they're just playing mind games.",Time Sandwich
Cinnamon Bun, Is the princess your friend?,Time Sandwich
Flame Princess, I don't know.,Time Sandwich
Cinnamon Bun," Yeah, because why did she lock you up in jail when you were a little baby? That was a weird friend thing.",Time Sandwich
Flame Princess, [gasps],Time Sandwich
Action, [Title card 15 YEARS AGO. Scene cuts to the Fire Kingdom.],Time Sandwich
Messenger, The word! The word!,Time Sandwich
Flame King, What's the word?,Time Sandwich
Messenger, The word is your newborn baby will have greater powers than you'll ever dream of.,Time Sandwich
Flame King, Uh... have my baby sent into the wilderness of the outside world to perish.,Time Sandwich
Messenger, Okay! [runs off],Time Sandwich
Action," [Scene cuts to the messenger carrying a baby Flame Princess through a forest. He sets her down, and she tries to walk but falls backwards. The messenger catches her.]",Time Sandwich
Messenger, Oop. Hup. [helps her walk],Time Sandwich
Action, [Flame Princess starts walking on her own away from the messenger.],Time Sandwich
Messenger, Ah! [catches up to her and picks her up] Aw. [makes baby noises] [tickles her face],Time Sandwich
Flame Princess,  [giggles] [her flames intensify],Time Sandwich
Action, [Scene cuts to the messenger handing Flame Princess to Rock Woodsman.],Time Sandwich
Messenger, [sighs] Hmm. [starts crying and runs off],Time Sandwich
Rock Woodsman, Ho-ho! [puts Flame Princess down and starts sawing wood],Time Sandwich
Action, [Flame Princess walks into the lumberjack's house and sets it on fire.],Time Sandwich
Rock Woodsman, [gasps] WAAAAAAAAAH!,Time Sandwich
Flame Princess," [laughs] [runs into the forest, burning trees] Bah. [knocks down a tree, behind which can be seen the Candy Kingdom in the distance] Ca'tle.",Time Sandwich
Princess Bubblegum, [looking through a telescope] What's this?,Time Sandwich
Action, [Scene cuts to Princess Bubblegum in a fireproof suit walking up to Flame Princess.],Time Sandwich
Flame Princess," Kih, kih.",Time Sandwich
Action, [Princess Bubblegum picks her up.],Time Sandwich
Princess Bubblegum, A princess? Must've wandered off.,Time Sandwich
Action, [Scene cuts to Fire Kingdom.],Time Sandwich
Princess Bubblegum, Flame King?,Time Sandwich
Flame King," What do you want, princess of the Gum World?",Time Sandwich
Princess Bubblegum, I found your lost daughter.,Time Sandwich
Flame King, I-I don't remember losing anything.,Time Sandwich
Princess Bubblegum, Pssh.,Time Sandwich
Flame King," Okay, you got me. I had her sent to wander in the woods. I was in fear of being usurped. Come on.",Time Sandwich
Princess Bubblegum," That's your problem, but you can't just let her run around the woods. She's too dangerous. Find some way to contain her power, or I will.",Time Sandwich
Flame King," Pssh, fine.",Time Sandwich
Action, [Scene cuts to baby Flame Princess in the lantern.],Time Sandwich
Action, [Scene cuts back to Flame Princess in Cinnamon Bun's house.],Time Sandwich
Flame Princess, [stands up] [groans in frustration] Is everybody in this world hiding something?,Time Sandwich
Cinnamon Bun, It's fun to hide.,Time Sandwich
Flame Princess, You're all right. Why can't everybody be honest like you? Maybe I should just go back where I belong.,Time Sandwich
Cinnamon Bun," Wait, do you mean baby jail?",Time Sandwich
Flame Princess," I don't know, man.",Time Sandwich
Cinnamon Bun, Mmmm...,Time Sandwich
Action, [Scene cuts to Finn and Princess Bubblegum walking up to a metal door.],Time Sandwich
Finn, Fighting snow-a-constrictors really helped take my mind off things.,Time Sandwich
Action, [Finn shakes snow off his head as Princess Bubblegum pushes buttons on a keypad next to the door.],Time Sandwich
Finn," So, uh, why am I here again?",Time Sandwich
Princess Bubblegum," Oh, I just wanted to measure Flame Princess's reaction when confronted by the guy who broke her heart.",Time Sandwich
Action," [Finn frowns, and the door opens.]",Time Sandwich
Princess Bubblegum," Hey, Cinnamon Bun, I'm—[gasps]",Time Sandwich
Action," [The metal contraption is out of control, frantically moving up and down and smoking.]",Time Sandwich
Princess Bubblegum, CINNAMON BUN!!!,Time Sandwich
Action, [Scene cuts to Cinnamon Bun's house. Finn and Princess Bubblegum arrive via carriage and walk up to the door.],Time Sandwich
Princess Bubblegum," There's a note [reading it] ""Gon 2 fyr kingdum. Pleez watch dog.""",Time Sandwich
Action," [Cinnamon Bun's ""dog"" is on the doorstep next to a bowl of dog food.]",Time Sandwich
Finn," Oh, this is terrible! If Flame Princess goes back there, her evil dad will lock her up again!",Time Sandwich
Princess Bubblegum,"  And if she's imprisoned, I won't be able to complete my tests, and I'll have wasted my precious time!",Time Sandwich
Finn, We gotta save her. Let's doogie!,Time Sandwich
Action," [Scene cuts to Fire Kingdom. Finn and Princess Bubblegum, dressed in fireproof suits, walk up to a couple Flame Guards.]",Time Sandwich
Flame Guard #1," State your business here, and be quick about it. Sorry, I'm on edge 'cause I'm worried that Jerry here will find out I'm dating his sister.",Time Sandwich
Action, [Jerry turns his head.],Time Sandwich
Finn," Listen, we need to get into the castle right now.",Time Sandwich
Flame Guard #1," Yeah, but why?",Time Sandwich
Finn, Grrr! So I can go to your mama's house! Now get outta my way!,Time Sandwich
Jerry, Doesn't your mom live in a nursing home?,Time Sandwich
Flame Guard #1," Yeah, and in a different city. C'mon, dude, you gotta be honest here.",Time Sandwich
Finn," Honest my fist! [punches Flame Guard, pushes him down, and headbutts Jerry] Come on, Princess!",Time Sandwich
Action, [The two run inside but are blasted back by a huge fireball.],Time Sandwich
Flame Guard #2," D'aw, yeah! Gonna scramble you and fry you up for brunch! I try to act tough but I really wanted to be a chef.",Time Sandwich
Finn, Man.,Time Sandwich
Action, [A Flame Person walks up to the three guards.],Time Sandwich
Jerry, Halt. What is your business here?,Time Sandwich
Flame Person, I need to get inside to file my taxes. Also I like using the bathroom here. Also I like to crop dust the lobby.,Time Sandwich
Flame Guard #2," Pass, friend.",Time Sandwich
Finn," Alright, so you wanna get nasty? One time, I blew a snot bubble that broke off and floated away. Then it hit some lady's baby in the face, and it started crying.",Time Sandwich
Princess Bubblegum, And I really enjoy the taste of envelopes.,Time Sandwich
Flame Guard #1," Uh, that's cool and all, but you still haven't told us why you want to get in.",Time Sandwich
Princess Bubblegum, We need to see the king?,Time Sandwich
Flame Guard #1," Well, why didn't you just say so? Right this way, friends. [leads them inside] There you go [Flame Princess is seated on the throne wearing royal garb] the new Flame King.",Time Sandwich
Finn, Flame Princess?,Time Sandwich
Flame Princess, Finn?,Time Sandwich
Finn," You're okay! Um, how's it going?",Time Sandwich
Flame Princess, Pretty good. Cinnamon Bun and I staged a coup and I overthrew my dad.,Time Sandwich
Princess Bubblegum," Oh-ho, that's why the guards were wigging out.",Time Sandwich
Flame Princess, That is the new way in the Fire Kingdom. Total honesty is the law of the land—no secrets.,Time Sandwich
Finn, Oh.,Time Sandwich
Flame King," [from inside lantern] Right, can you believe this nonsense? Once I get outta here, I'm gonna ground you for real. No snacks, no friends, no popular music.",Time Sandwich
Flame Princess, You never let me have any of those things! You were a selfish king and a bad parent!,Time Sandwich
Flame King," But I did it for you, honey—for you not to overthrow me like you just did.",Time Sandwich
Flame Princess," You belong in that lamp! And if you don't settle down, you'll have to answer to Cinnamon Bun!",Time Sandwich
Cinnamon Bun, [wearing a conical fire hat] Hi.,Time Sandwich
Finn, Wow. She's even awesomer than I remember.,Time Sandwich
Princess Bubblegum, Take off that silly hat. We're going home.,Time Sandwich
Cinnamon Bun," No. Look, [pets Jake 2] got a real dog now! Hah.",Time Sandwich
Finn," Flame Princess, listen. I'm really sorry I lied and hurt your feelings, and I was a big fat jerk—",Time Sandwich
Flame Princess," Finn, it's okay. It's in the past now.",Time Sandwich
Finn," So, does that mean we're still going out?",Time Sandwich
Flame Princess," No. I've realized my place is here, ruling these weak and vicious Fire People.",Time Sandwich
Finn, I see. [gets on the ground and goes into fetal position],Time Sandwich
Flame Princess, But we're cool. You're welcome to come back and hang out whenever you like if you promise me one thing.,Time Sandwich
Finn, [stands up] Anything.,Time Sandwich
Flame Princess, That you'll be completely honest with me.,Time Sandwich
Finn, Heh. Okay. I promise.,Time Sandwich
Flame Princess, [laughs lightly] I'm serious.,Time Sandwich
Finn, Hmm.,Time Sandwich
Action, [The episode starts off in the Tree Fort with pots and pans crashing. Finn is stirring a bowl with nothing in it. Something growls and green tentacles come towards Finn.],The Vault
Finn, Wha—?,The Vault
Action," [Finn steps back and the stove melts, turning into a blue creature with green hair. The creature smiles.]",The Vault
Finn, Wha—?!,The Vault
Action," [The scene goes to Jake, who is sound asleep. In the background, you can hear Finn scream for help.]",The Vault
Jake, What? Finn?!,The Vault
Action," [The scene goes back to Finn, where the blue creature is engulfing him.]",The Vault
Jake, I'm coming! [Jake stretches from his bed to downstairs.],The Vault
Finn, She's got me! She's got me!,The Vault
Action," [Jake sees Finn asleep on the floor, kicking in the air.]",The Vault
Jake," [sighs] Yo, bro, you're sleepwalking again! Wake up! [He slaps Finn.]",The Vault
Finn, Whoa. Jake? Was I...?,The Vault
Jake," Yes, Finn. Again. Every time youse is screaming about ""She's got me!"" and all that.",The Vault
Finn, She's got... Wha?,The Vault
Jake," Wait, you don't remember? You just woke up, man! Recall it, baby! Come on.",The Vault
Action," [Finn closes his eyes in frustration, trying to remember. He starts to punch each side of his head multiple times.]",The Vault
Jake, That's too much; don't punch yourself.,The Vault
Finn," Eh, it's gone. I don't know.",The Vault
Jake," [sighs] [He grabs Finn.] You're repressin' the memory, dude!",The Vault
Finn, I'm what?,The Vault
Jake, You're hiding whatever she is in a mental vault.,The Vault
Finn," Oh, yeah. The vault. That's where the stuff I can't handle goes. Kerplunk.",The Vault
Jake," Okay, so you even know you're doing it? [He lets go of Finn.]",The Vault
Finn, Yeah. [laughs.],The Vault
Jake," Listen, we gotta find out who this lady is. We gotta open the vault a little.",The Vault
Finn," No, sir.",The Vault
Jake," This is just gonna keep happening, man.",The Vault
Finn, It's alright. I'm not hurting anybody.,The Vault
Jake," Finn, for reals.",The Vault
Finn, [Finn's entire body shivers and then stops.] NO!,The Vault
Jake," Alright. Chill, chill. Don't sweat it, man. It's not even a thing.",The Vault
Finn, Cool.,The Vault
Jake, Why don't you clean up the kitchen now?,The Vault
Finn, Okay. I'm sorry I did that.,The Vault
Jake," It's alright. It's only, like, the fifth room you've train-wrecked this month.",The Vault
Action, [Finn and Jake walk away from each other.],The Vault
Action, [Scene cuts to Finn on the sofa while Jake is carrying BMO.],The Vault
Jake," Wow, that was fast.",The Vault
Finn, Yup.,The Vault
Jake," While you were doing that, I downloaded a new game on BMO.",The Vault
Finn, There's a cricket in here.,The Vault
Jake," [Jake places BMO on the table and sits next to Finn, giving him the controller.] Huh?",The Vault
Finn, What is it?,The Vault
Jake, I don't know. Lady said it's good.,The Vault
Finn," Hmmm. She likes those games where you're, like, collecting materials to make stationery.",The Vault
Jake," Naw, this is different. [Jake looks off to the side, unsure.] It's different.",The Vault
Finn," A'ight, let's peep it.",The Vault
Action, [Finn presses a button. On BMO'S screen it says Regression Simulator Press Start.],The Vault
Finn," Regression Simulator? Uh, okay.",The Vault
Action, [Finn presses the start button.],The Vault
Finn, Start.,The Vault
Action, [A red hexagon swirls 360 degrees. An unknown male voice starts talking.],The Vault
Male Voice," Welcome, adventurer.",The Vault
Action," [Finn seems shocked while Jake sits next to him, covering his eyes.]",The Vault
Finn, Whoa.,The Vault
Male Voice, I am the Hypno-Priest. I will be your guide.,The Vault
Action, [The scene shows Finn mindless with the red spiral reflecting in his eyes.],The Vault
Male Voice,"  Deep into your subconscious mind. Follow me now, adventurer.",The Vault
Finn,  [gasps] The vault.,The Vault
Action, [Finn walks up to the spiral.],The Vault
Jake," Go in there, man! Don't be scurred.",The Vault
Action, [A door forms and Finn walks through it. Jake's eyes are still closed.],The Vault
Jake, What do you see?,The Vault
Finn, I see... my past lives.,The Vault
Action, [A comet flies by.],The Vault
Finn, I was a comet...,The Vault
Action," [A butterfly is shown, sitting on a flower.]",The Vault
Finn,  A butterfly...,The Vault
Action, [A pink object is shown.],The Vault
Finn,  A thing... I don't know what that is. Some kind of shape? Or a doodoo in another dimension?,The Vault
Action, [The scene goes to Jake. He opens his right eye but with his hand still covering it.],The Vault
Jake, Do you remember anything about the scary lady?,The Vault
Action, [Finn squints his eyes.],The Vault
Finn, Scary lady?,The Vault
Action, [He thinks for a second and closes his eyes.],The Vault
Finn, Yeah. I was her! Except she was a chubby tiger.,The Vault
Action, [A white tiger with blue eyes is seen running.],The Vault
Finn," No, no, no, wait, wait, wait. She was riding a tiger, and she wasn't scary.",The Vault
Action, [A black haired girl with green skin is seen riding a tiger. She is wearing a short green dress with a dagger strapped to her chest. She is missing her right arm. The tiger runs up some white steps to a building. The door opens for them by a green skinned man wearing a shower cap.],The Vault
Boss," Hey, girl.",The Vault
Action, [The girl walks up to a man in the tub. He is known as the boss.],The Vault
Boss, Sniffin' around for that chedda?,The Vault
Shoko, You know it. Got any work for me?,The Vault
Boss," I might could, but it's a top-shelf shakedown. Know what I'm saying?",The Vault
Shoko, I can step to that.,The Vault
Boss," There's a rival camp down river. The leader's got some magic omelette, you know? [eats eye cucumbers] Mmm. You know? The kind you wear around your neck.",The Vault
Shoko," I think it's pronounced ""amulet.""",The Vault
Boss," Oh, don't get fresh with me, girlie. I talk good. Anyway, when I get my hands on that omelet, whoo-hoo! Forget about everything, baby. I'll be the biggest cheese in creation.",The Vault
Shoko, Sounds cool. I'll take the job,The Vault
Boss, Shake on it.,The Vault
Action, [The boss extends his hand. Shoko shakes it.],The Vault
Boss," You pull this off, and I'll let you join my gang.",The Vault
Shoko, Uh... that's okay. I'll just work for coin.,The Vault
Boss," And, on the other hand, so to speak, if you screw up or chicken out, you're out of the game. Permanently. [He pretends to slit his throat with his finger.] Pretend my finger's a knife.",The Vault
Action," [Shoko forcefully lets go of his hand and gives a disgusted look. She rides her tiger to the Candy Kingdom, which is currently under construction.]",The Vault
Shoko, Play dead.,The Vault
Action," [Her tiger lays his head on the grass, playfully.]",The Vault
Shoko,  Deader.,The Vault
Action," [Her tiger falls on its back, with its paws up in the air, and its eyes closed. Shoko screams and hits herself on the head with a rock, knocking herself out.]",The Vault
Banana Guard, Ah! Another attack!,The Vault
Action, [The Banana Guard takes out a horn and blows it. A mysterious figure with a purple cloak jumps down from a crane to the Banana Guard.],The Vault
Banana Guard, My leader! Another attack!,The Vault
Action," [The figure removes the cloak, revealing it is Princess Bubblegum. She takes out her telescope.]",The Vault
Princess Bubblegum, Bring them inside.,The Vault
Action," [Shoko is seen lying in a bed, with her tiger sleeping next to her on the floor. She wakes up and rubs her head.]",The Vault
Princess Bubblegum," Hey, you're up!",The Vault
Action," [Princess Bubblegum carries bread, soup, and olives on a tray for Shoko.]",The Vault
Princess Bubblegum, I thought you might be hungry.,The Vault
Action, [She sets the tray on the table and takes a seat in a chair.],The Vault
Princess Bubblegum," So, who knocked you out?",The Vault
Action, [Shoko starts eating her bread.],The Vault
Shoko, Bath Boy Gang.,The Vault
Princess Bubblegum, Ugh! I hate those boys!,The Vault
Shoko," Yeah, they stole everything I had, but that's okay. My parents always told me that simple possessions aren't the most important things in life.",The Vault
Princess Bubblegum, Word 'em up.,The Vault
Shoko," [Puts her hand on her heart] They told me ""all you really need is a good computer.""",The Vault
Princess Bubblegum," Amen. Wait, what?!",The Vault
Shoko, They traded my arm to some tranch for a computer.,The Vault
Princess Bubblegum, They what?!,The Vault
Action," [Shoko looks left and right, confused.]",The Vault
Shoko,  What?,The Vault
Princess Bubblegum, Parents should protect their children!,The Vault
Shoko, What? Really?,The Vault
Action, [Shoko looks at her missing arm and touches it.],The Vault
Shoko, Do you have any kids?,The Vault
Action, [The scene changes to the Candy Kingdom being built.],The Vault
Princess Bubblegum," All the Candy People are like my children, except young Mr. Cream Puff... he's like my boyfriend. Anyway, protecting my people is the most important thing to me. That's why I've got to take down the Bath Boy Gang.",The Vault
Shoko, You think you can do that?,The Vault
Princess Bubblegum," I got a plan—a secret, awesome plan. In the meantime, I've gotta cover this radioactive river with candy. Wanna help?",The Vault
Action," [Shoko nods, eagerly. Afterwards, Shoko and Princess Bubblegum are seen carrying two buckets on their shoulders.]",The Vault
Princess Bubblegum," Thanks for pitching in, Shoko! You can stay here as long as you want.",The Vault
Action," [Shoko smiles. Suddenly, a Bath Boy gang member appears from the bushes.]",The Vault
Bath Boy, Psst! Psst! Shoko!,The Vault
Shoko, What are you doing here?!,The Vault
Bath Boy, I'm spyin' on you. Wait 'til I tell boss that you quit the life for a cruddy day job!,The Vault
Shoko," I'm gaining her trust, you momo. Say... you can help me.",The Vault
Bath Boy, Huh?,The Vault
Action, [Shoko starts screaming.],The Vault
Shoko, Stay away from me you gang boy! Ahhhhh!,The Vault
Princess Bubblegum, [gasps] A Bath Boy!,The Vault
Bath Boy, What're you doing?!,The Vault
Shoko, Be cool!,The Vault
Action," [Shoko kicks both of her buckets into the Bath Boy's face, hits him in the stomach with the stick, and lets her tiger push him off the cliff.]",The Vault
Princess Bubblegum, That was bananamas! Where'd you learn to fight like that?,The Vault
Shoko, My parents took me to a dojo when I was little... they never came back.,The Vault
Princess Bubblegum," Wow. Your parents are the worst... hey, come with me. I wanna show you something.",The Vault
Action," [Shoko, her tiger, and Princess Bubblegum walk into a tent.]",The Vault
Princess Bubblegum, My secret project is in here.,The Vault
Action, [Shoko gazes on two Gumball Guardians.],The Vault
Shoko, Whoa... what are they?,The Vault
Princess Bubblegum, The Gumball Guardians. Wanna help me finish them?,The Vault
Shoko, Yeah!,The Vault
Action," [Princess Bubblegum starts working on the Gumball Guardians, with Shoko giving her various tools, including a duck.]",The Vault
Princess Bubblegum, That's it! There's just one last step.,The Vault
Action," [Princess Bubblegum takes off her amulet, and inserts it into a gumball machine's coin slot. The machine glows and then explodes, and the Gumball Guardians wake up.]",The Vault
Princess Bubblegum, Hello.,The Vault
Gumball Guardians," [In unison] Hello, mother!",The Vault
Princess Bubblegum," Y'all go guard now, and don't let nobody mess with my stuff!",The Vault
Princess Bubblegum," [To Shoko] Hey, guess what, thanks for helping me make those guys.",The Vault
